0,0,0,0,0,0
0,0,0,0.049154,0.053153,0.08422
2.6788e-005,9.4523e-005,5.7871e-005,0.092566,0.075009,0.13405
0.0015448,0.0025919,0.00121,0.12479,0.10346,0.1755
0.0088043,0.010492,0.0041246,0.15116,0.13592,0.20181
0.022716,0.024282,0.011969,0.17541,0.16892,0.22187
0.044301,0.043167,0.025568,0.20083,0.20077,0.24343
0.069654,0.067221,0.044571,0.22575,0.23556,0.26368
0.096829,0.093513,0.066083,0.24952,0.26843,0.28245
0.12555,0.122,0.09061,0.27331,0.2995,0.30274
0.15449,0.15206,0.11771,0.29702,0.32962,0.32364
0.18348,0.1818,0.14639,0.32067,0.35761,0.34561
0.21157,0.21184,0.17536,0.34356,0.38401,0.3682
0.23858,0.24342,0.20417,0.36555,0.41011,0.39147
0.2647,0.27273,0.23299,0.38681,0.43377,0.41401
0.29002,0.30104,0.26104,0.40749,0.45599,0.43502
0.31415,0.32792,0.28764,0.42712,0.47757,0.45505
0.33826,0.35417,0.31501,0.44689,0.49829,0.47562
0.36204,0.38031,0.33944,0.46628,0.51856,0.49532
0.3851,0.40462,0.36334,0.48521,0.53777,0.5135
0.40745,0.42801,0.38564,0.50352,0.55606,0.53098
0.42827,0.45047,0.40794,0.52072,0.57353,0.54953
0.44887,0.4708,0.42958,0.53794,0.58954,0.56716
0.46863,0.49037,0.44954,0.55456,0.60508,0.58276
0.48808,0.50946,0.46892,0.5707,0.62005,0.59768
0.50683,0.52758,0.48707,0.58601,0.63498,0.61144
0.52465,0.54473,0.50461,0.60054,0.64918,0.62489
0.54196,0.56116,0.52059,0.61472,0.66246,0.63871
0.55939,0.57644,0.5375,0.6291,0.67511,0.65343
0.57646,0.59121,0.55289,0.64324,0.68759,0.66612
0.59203,0.60547,0.56786,0.65617,0.69904,0.67803
0.60696,0.61916,0.58253,0.66851,0.71021,0.69046
0.62157,0.63307,0.59662,0.68059,0.7217,0.70315
0.63552,0.64587,0.61026,0.69216,0.73229,0.71471
0.64823,0.65822,0.62323,0.70282,0.74253,0.72547
0.66103,0.66982,0.63585,0.7136,0.75225,0.73648
